,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_km,Time_Differece_in_minutes
0,38.0,4.7,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Urban,14,3.029512751162419,15.0
1,21.0,4.9,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,28,5.959019072169318,10.0
2,29.0,4.8,Sunny,Low,1,Meal,motorcycle,0.0,No,Urban,16,1.5580994617898951,5.0
3,22.0,4.8,Fog,High,2,Snack,scooter,0.0,No,Metropolitian,30,1.4897995018082963,10.0
4,20.0,4.7,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,17,9.315745361545886,15.0
5,37.0,4.8,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,26,4.717601092054723,1050.0
6,20.0,5.0,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Urban,21,4.560903158461034,10.0
7,20.0,5.0,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,15,6.050461888076144,5.0
9,26.0,4.8,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,25,16.830461294557434,15.0
10,20.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,13,4.6104717430464985,10.0
11,36.0,4.8,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,25,19.839679483567604,5.0
12,20.0,4.8,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,11,13.973947080769712,10.0
13,39.0,4.4,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,46,17.076258901183188,-1135.00000002
14,22.0,4.6,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,38,12.463888116757747,10.0
15,33.0,4.8,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,16,7.66052012420465,-1082.49999998
16,20.0,4.6,Stormy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,21,16.902001940859687,10.0
17,37.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,15,6.058825169286296,5.0
18,22.0,4.7,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,36,20.82785802182746,5.0
19,38.0,4.8,Windy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,20,4.663411524934487,-1317.50000002
20,30.0,5.0,Sunny,Jam,0,Meal,motorcycle,1.0,No,Urban,21,4.544208221887867,10.0
21,21.0,4.7,Sandstorms,High,1,Snack,motorcycle,1.0,No,Metropolitian,18,6.037605711784208,15.0
22,36.0,5.0,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,40,17.165758142606446,10.0
23,28.0,4.6,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,3.064508186852737,10.0
24,21.0,4.4,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,19,1.5545440228107197,10.0
25,23.0,4.6,Fog,Medium,1,Snack,motorcycle,0.0,No,Urban,14,6.2178836475581045,5.0
26,23.0,4.8,Windy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,22,4.530163033904002,-1082.49999998
27,38.0,4.7,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,1.489792976782627,5.0
28,38.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,1.5580833985948437,5.0
29,38.0,4.6,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,12.580267822400964,10.0
30,25.0,4.5,Sunny,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20.44292976252901,15.0
31,25.0,4.2,Sandstorms,High,0,Meal,motorcycle,1.0,No,Urban,35,6.232341754608859,15.0
32,30.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,1.5580874730609473,637.50000002
33,36.0,4.8,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,31,5.958756242189327,10.0
34,22.0,4.6,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,24,4.67432400638191,10.0
35,35.0,4.3,Sandstorms,High,0,Snack,motorcycle,0.0,No,Urban,39,1.5582406301371106,5.0
